NCM;EX;DESCRIÄ«O;AL÷QUOTA;
1901.20.10;;Massa para a preparaá∆o de p∆o, sem adiá∆o de gr∆os ou sementes integrais, congelada;0;
1901.20.10;01;PrÇ-misturas pr¢prias para fabricaá∆o de p∆o do tipo comum;0;
1901.20.20;;Massa para a preparaá∆o de p∆o, com adiá∆o de gr∆os ou sementes integrais, congelada;0;
1901.20.90;;Outras;0;
1901.20.90;01;PrÇ-misturas pr¢prias para fabricaá∆o de p∆o do tipo comum;0;
1901.9;;- Outros;;
1901.90.10;;Extrato de malte ;0;
1901.90.20;;Doce de leite ;0;
1901.90.90;;Outros ;0;
19.02;;"Massas aliment°cias, mesmo cozidas ou recheadas (de carne ou de outras substÉncias) ou preparadas de outro modo, tais como espaguete, macarr∆o, aletria, lasanha, nhoque, ravi¢li e canelone; cuscuz, mesmo preparado.";;
1902.1;;- Massas aliment°cias n∆o cozidas, nem recheadas, nem preparadas de outro modo:;;
1902.11.00;;-- Que contenham ovos ;0;
1902.19.00;;-- Outras ;0;
1902.20.00;;- Massas aliment°cias recheadas (mesmo cozidas ou preparadas de outro modo) ;0;
1902.30.00;;- Outras massas aliment°cias ;0;
1902.40.00;;- Cuscuz ;0;
1903.00.00;;"Tapioca e seus sucedÉneos preparados a partir de fÇculas, em flocos, grumos, gr∆os, pÇrolas ou formas
semelhantes. ";0;
19.04;;"Produtos Ö base de cereais, obtidos por expans∆o ou por torrefaá∆o (flocos de milho (corn flakes), por exemplo); cereais (exceto milho) em gr∆os ou sob a forma de flocos ou de outros gr∆os trabalhados (com exceá∆o da farinha, do grumo e da sàmola), prÇ-cozidos ou preparados de outro modo, n∆o especificados nem compreendidos noutras posiá‰es.";;
1904.10.00;;- Produtos Ö base de cereais, obtidos por expans∆o ou por torrefaá∆o ;0;
1904.20.00;;- Preparaá‰es aliment°cias obtidas a partir de flocos de cereais n∆o torrados ou de misturas de flocos de cereais n∆o torrados com flocos de cereais torrados ou expandidos ;0;
1904.30.00;;- Trigo bulgur ;0;
1904.90.00;;- Outros ;0;
19.05;;"Produtos de padaria, pastelaria ou da ind£stria de bolachas e biscoitos, mesmo adicionados de cacau; h¢stias, c†psulas vazias para medicamentos, obreias, pastas secas de farinha, amido ou fÇcula, em folhas, e produtos semelhantes.";;
1905.10.00;;- P∆o crocante denominado knÑckebrot ;0;
1905.2;;- P∆o de especiarias;;
1905.20.10;;Panetone ;0;
1905.20.90;;Outros ;0;
1905.3;;"- Bolachas e biscoitos, adicionados de edulcorantes; waffles e wafers:";;
1905.31.00;;-- Bolachas e biscoitos, adicionados de edulcorantes ;0;
1905.32.00;;-- Waffles e wafers ;0;
1905.40.00;;- Torradas (tostas), p∆o torrado e produtos semelhantes torrados ;0;
1905.9;;- Outros;;
1905.90.10;;P∆o de forma ;0;
1905.90.20;;Bolachas e biscoitos ;0;
1905.90.90;;Outros ;0;
1905.90.90;01;P∆o do tipo comum;0;
20.01;;Produtos hort°colas, fruta e outras partes comest°veis de plantas, preparados ou conservados em vinagre ou em †cido acÇtico.;;
2001.10.00;;- Pepinos e pepininhos (cornichons) ;0;
2001.90.00;;- Outros ;0;
20.02;;Tomates preparados ou conservados, exceto em vinagre ou em †cido acÇtico.;;
2002.10.00;;- Tomates inteiros ou em pedaáos ;0;
2002.10.00;01;Cozidos (exceto em †gua ou vapor) e congelados;NT;
2002.90.00;;- Outros ;0;
2002.90.00;01;Cozidos (exceto em †gua ou vapor) e congelados;NT;
20.03;;Cogumelos e trufas, preparados ou conservados, exceto em vinagre ou em †cido acÇtico.;;
2003.10.00;;- Cogumelos do gànero Agaricus ;0;
2003.10.00;01;Cozidos (exceto em †gua ou vapor) e congelados;NT;
2003.90.00;;- Outros ;0;
2003.90.00;01;Cozidos (exceto em †gua ou vapor) e congelados;NT;
2003.90.00;02;Trufas cozidas (exceto em †gua ou vapor) e congeladas;NT;
2003.90.00;03;Outras trufas;3,25;
20.04;;Outros produtos hort°colas preparados ou conservados, exceto em vinagre ou em †cido acÇtico, congelados, com exceá∆o dos produtos da posiá∆o 20.06.;;
2004.10.00;;- Batatas ;0;
2004.10.00;01;Cozidas (exceto em †gua ou vapor);NT;
2004.90.00;;- Outros produtos hort°colas e misturas de produtos hort°colas ;0;
2004.90.00;01;Cozidos (exceto em †gua ou vapor);NT;
20.05;;Outros produtos hort°colas preparados ou conservados, exceto em vinagre ou em †cido acÇtico, n∆o congelados, com exceá∆o dos produtos da posiá∆o 20.06.;;
2005.10.00;;- Produtos hort°colas homogeneizados ;0;
2005.20.00;;- Batatas ;0;
2005.40.00;;- Ervilhas (Pisum sativum) ;0;
2005.5;;- Feij‰es (Vigna spp., Phaseolus spp.):;;
2005.51.00;;-- Feij‰es em gr∆os ;0;
2005.59.00;;-- Outros ;0;
2005.60.00;;- Aspargos ;0;
2005.70.00;;- Azeitonas ;0;
2005.80.00;;- Milho doce (Zea mays var. saccharata) ;0;
2005.9;;- Outros produtos hort°colas e misturas de produtos hort°colas:;;
2005.91.00;;-- Brotos (rebentos) de bambu ;0;
2005.99.00;;-- Outros ;0;
2006.00.00;;Produtos hort°colas, fruta, cascas de fruta e outras partes de plantas, conservados com aá£car (passados por calda, glaáados ou cristalizados). ;0;
20.07;;Doces, geleias, marmelades, puràs e pastas de fruta, obtidos por cozimento, mesmo com adiá∆o de aá£car ou de outros edulcorantes.;;
2007.10.00;;- Preparaá‰es homogeneizadas ;0;
2007.9;;- Outros:;;
2007.91.00;;-- De citros (citrinos) ;0;
2007.99;;-- Outros;;
2007.99.10;;Geleias e marmelades ;0;
2007.99.2;;Puràs;;
2007.99.21;;De aáa° (Euterpe oleracea) ;0;
2007.99.22;;De acerola (Malpighia spp.) ;0;
2007.99.23;;De banana (Musa spp.) ;0;
2007.99.24;;De goiaba (Psidium guajava) ;0;
2007.99.25;;De manga (Mangifera indica) ;0;
2007.99.26;;De cupuaáu (Theobroma grandiflorum) ;0;
2007.99.27;;De mam∆o (papaia) (Carica papaya L.) ;0;
2007.99.29;;Outros ;0;
2007.99.90;;Outros ;0;
20.08;;Fruta e outras partes comest°veis de plantas, preparadas ou conservadas de outro modo, mesmo com adiá∆o de aá£car ou de outros edulcorantes ou de †lcool, n∆o especificadas nem compreendidas noutras posiá‰es.;;
2008.1;;- Fruta de casca rija, amendoins e outras sementes, mesmo misturados entre si:;;
2008.11.00;;-- Amendoins ;0;
2008.19.00;;-- Outros, incluindo as misturas ;0;
2008.19.00;01;"Cozidos (exceto em †gua e vapor), congelados e sem adiá∆o de aá£car ou de outros
edulcorantes, exclu°das as misturas";NT;
2008.2;;- Abacaxis (ananases);;
2008.20.10;;Em †gua edulcorada, incluindo os xaropes ;0;
2008.20.90;;Outros ;0;
2008.20.90;01;"Cozidos (exceto em †gua e vapor), congelados e sem adiá∆o de aá£car ou de outros
edulcorantes";NT;
2008.30.00;;- Citros (citrinos) ;0;
2008.30.00;01;Cozidos (exceto em †gua e vapor), congelados e sem adiá∆o de aá£car ou de outros edulcorantes;NT;
2008.4;;- Peras;;
2008.40.10;;Em †gua edulcorada, incluindo os xaropes ;0;
2008.40.90;;Outras ;0;
2008.40.90;01;"Cozidas (exceto em †gua e vapor), congeladas e sem adiá∆o de aá£car ou de outros
edulcorantes";NT;
2008.50.00;;- Damascos ;0;
2008.50.00;01;Cozidos (exceto em †gua e vapor), congelados e sem adiá∆o de aá£car ou de outros edulcorantes;NT;
2008.6;;- Cerejas;;
2008.60.10;;Em †gua edulcorada, incluindo os xaropes ;0;
2008.60.90;;Outras ;0;
2008.60.90;01;"Cozidas (exceto em †gua e vapor), congeladas e sem adiá∆o de aá£car ou de outros
edulcorantes";NT;
2008.7;;- Pàssegos, incluindo as nectarinas;;
2008.70.10;;Em †gua edulcorada, incluindo os xaropes ;0;
2008.70.20;;Polpa com valor Brix igual ou superior a 20 ;0;
2008.70.90;;Outros ;0;
2008.70.90;01;"Cozidos (exceto em †gua e vapor), congelados e sem adiá∆o de aá£car ou de outros
edulcorantes";NT;
2008.80.00;;- Morangos ;0;
2008.80.00;01;Cozidos (exceto em †gua e vapor), congelados e sem adiá∆o de aá£car ou de outros edulcorantes;NT;
2008.9;;- Outras, incluindo as misturas, com exclus∆o das da subposiá∆o 2008.19:;;
2008.91.00;;-- Palmitos ;0;
2008.93.00;;"-- Arandos vermelhos (cranberries) (Vaccinium macrocarpon, Vaccinium oxycoccos); airela vermelha (Vaccinium vitis-idaea) ";0;
2008.93.00;01;Cozidos (exceto em †gua e vapor), congelados e sem adiá∆o de aá£car ou de outros edulcorantes;NT;
2008.97;;-- Misturas;;
2008.97.10;;Em †gua edulcorada, incluindo os xaropes ;0;
2008.97.90;;Outras ;0;
2008.97.90;01;"Cozidas (exceto em †gua e vapor), congeladas e sem adiá∆o de aá£car ou de outros
edulcorantes";NT;
2008.99.00;;-- Outras ;0;
2008.99.00;01;Cozidas (exceto em †gua e vapor), congeladas e sem adiá∆o de aá£car ou de outros edulcorantes;NT;
20.09;;Sucos (sumos) de fruta (incluindo os mostos de uvas e a †gua de coco) ou de produtos hort°colas, n∆o fermentados, sem adiá∆o de †lcool, mesmo com adiá∆o de aá£car ou de outros edulcorantes.;;
2009.1;;- Suco (sumo) de laranja:;;
2009.11.00;;-- Congelado ;0;
2009.12.00;;-- N∆o congelado, com valor Brix n∆o superior a 20 ;0;
2009.19.00;;-- Outros ;0;
2009.2;;"- Suco (sumo) de toranja; suco (sumo) de pomelo:";;
2009.21.00;;-- Com valor Brix n∆o superior a 20 ;0;
2009.29.00;;-- Outros ;0;
2009.3;;- Suco (sumo) de qualquer outro citro (citrino):;;
2009.31.00;;-- Com valor Brix n∆o superior a 20 ;0;
2009.39.00;;-- Outros ;0;
2009.4;;- Suco (sumo) de abacaxi (anan†s):;;
2009.41.00;;-- Com valor Brix n∆o superior a 20 ;0;
2009.49.00;;-- Outros ;0;
2009.50.00;;- Suco (sumo) de tomate ;0;
2009.6;;- Suco (sumo) de uva (incluindo os mostos de uvas):;;
2009.61.00;;-- Com valor Brix n∆o superior a 30 ;0;
2009.69.00;;-- Outros ;0;
2009.7;;- Suco (sumo) de maá∆:;;
2009.71.00;;-- Com valor Brix n∆o superior a 20 ;0;
2009.79.00;;-- Outros ;0;
2009.8;;- Suco (sumo) de qualquer outra fruta ou produto hort°cola:;;
2009.81.00;;"-- Suco (sumo) de arando vermelho (cranberry) (Vaccinium macrocarpon, Vaccinium oxycoccos); suco (sumo) de airela vermelha (Vaccinium vitis-idaea) ";0;
2009.89;;-- Outros;;
2009.89.1;;Suco (sumo) de pàssego, de acerola (Malpighia spp.) e de maracuj† (Passiflora edulis);;
2009.89.11;;De pàssego, com valor Brix igual ou superior a 60 ;0;
2009.89.12;;De acerola (Malpighia spp.) ;0;
2009.89.13;;De maracuj† (Passiflora edulis) ;0;
2009.89.19;;Outros ;0;
2009.89.2;;µgua de coco (Cocos nucifera);;
2009.89.21;;Com valor Brix n∆o superior a 7,4 ;0;
2009.89.22;;Com valor Brix superior a 7,4 ;0;
2009.89.90;;Outros ;0;
2009.90.00;;- Misturas de sucos (sumos) ;0;
21.01;;"Extratos, essàncias e concentrados de cafÇ, ch† ou mate e preparaá‰es Ö base destes produtos ou Ö base de cafÇ, ch† ou mate; chic¢ria torrada e outros sucedÉneos torrados do cafÇ e respectivos extratos, essàncias e concentrados.";;
2101.1;; - Extratos, essàncias e concentrados de cafÇ e preparaá‰es Ö base destes extratos, essàncias ou concentrados ou Ö base de cafÇ:;;
2101.11;;-- Extratos, essàncias e concentrados;;
2101.11.10;;CafÇ sol£vel, mesmo descafeinado ;0;
2101.11.90;;Outros ;0;
2101.12.00;;-- Preparaá‰es Ö base de extratos, essàncias ou concentrados ou Ö base de cafÇ ;0;
2101.2;;- Extratos, essàncias e concentrados de ch† ou de mate e preparaá‰es Ö base destes extratos, essàncias ou concentrados ou Ö base de ch† ou de mate;;
2101.20.10;;De ch† ;0;
2101.20.20;;De mate ;0;
2101.30.00;;- Chic¢ria torrada e outros sucedÉneos torrados do cafÇ e respectivos extratos, essàncias e concentrados ;0;
21.02;;"Leveduras (vivas ou mortas); outros microrganismos monocelulares mortos (exceto as vacinas da posiá∆o 30.02); p¢s para levedar, preparados.";;
2102.1;;- Leveduras vivas;;
2102.10.10;;Saccharomyces boulardii ;0;
2102.10.90;;Outras ;0;
2102.20.00;;"- Leveduras mortas; outros microrganismos monocelulares mortos ";NT;
2102.20.00;01;Leveduras mortas;0;
2102.30.00;;- P¢s para levedar, preparados ;0;
21.03;;"Preparaá‰es para molhos e molhos preparados; condimentos e temperos compostos; farinha de mostarda e mostarda preparada.";;
2103.1;;- Molho de soja;;
2103.10.10;;Em embalagens imediatas de conte£do inferior ou igual a 1 kg ;0;
2103.10.90;;Outros ;0;
2103.2;;- Ketchup e outros molhos de tomate;;
2103.20.10;;Em embalagens imediatas de conte£do inferior ou igual a 1 kg ;0;
2103.20.90;;Outros ;0;
2103.3;;- Farinha de mostarda e mostarda preparada;;
2103.30.10;;Farinha de mostarda ;0;
2103.30.2;;Mostarda preparada;;
2103.30.21;;Em embalagens imediatas de conte£do inferior ou igual a 1 kg ;0;
2103.30.29;;Outras ;0;
2103.9;;- Outros;;
2103.90.1;;Maionese;;
2103.90.11;;Em embalagens imediatas de conte£do inferior ou igual a 1 kg ;0;
2103.90.19;;Outra ;0;
2103.90.2;;Condimentos e temperos, compostos;;
2103.90.21;;Em embalagens imediatas de conte£do inferior ou igual a 1 kg ;0;
2103.90.29;;Outros ;0;
2103.90.9;;Outros;;
2103.90.91;;Em embalagens imediatas de conte£do inferior ou igual a 1 kg ;0;
2103.90.99;;Outros ;0;
21.04;;"Preparaá‰es para caldos e sopas; caldos e sopas preparados; preparaá‰es aliment°cias compostas homogeneizadas.";;
2104.1;;"- Preparaá‰es para caldos e sopas; caldos e sopas preparados";;
2104.10.1;;Preparaá‰es para caldos e sopas;;
2104.10.11;;Em embalagens imediatas de conte£do inferior ou igual a 1 kg ;0;
2104.10.19;;Outras ;0;
2104.10.2;;Caldos e sopas preparados;;
2104.10.21;;Em embalagens imediatas de conte£do inferior ou igual a 1 kg ;0;
2104.10.29;;Outros ;0;
2104.20.00;;- Preparaá‰es aliment°cias compostas homogeneizadas ;0;
2105;;Sorvetes (gelados*), mesmo que contenham cacau.;;
2105.00.10;;Em embalagens imediatas de conte£do inferior ou igual a 2 kg ;3,25;
2105.00.90;;Outros ;3,25;
21.06;;Preparaá‰es aliment°cias n∆o especificadas nem compreendidas noutras posiá‰es.;;
2106.10.00;;- Concentrados de prote°nas e substÉncias proteicas texturizadas ;0;
2106.9;;- Outras;;
2106.90.10;;Preparaá‰es do tipo utilizado para elaboraá∆o de bebidas ;0;
2106.90.10;01;Preparaá‰es compostas, n∆o alco¢licas (extratos concentrados ou sabores concentrados), para elaboraá∆o de bebida da posiá∆o 22.02, com capacidade de diluiá∆o superior a 10 partes da bebida para cada parte do concentrado;8;
2106.90.10;02;Preparaá‰es compostas, n∆o alco¢licas (extratos concentrados ou sabores concentrados), para elaboraá∆o de bebida refrigerante do Cap°tulo 22, com capacidade de diluiá∆o de atÇ 10 partes da bebida para cada parte do concentrado;0;
2106.90.2;;P¢s, inclusive com adiá∆o de aá£car ou outro edulcorante, para a fabricaá∆o de pudins, cremes, sorvetes, flans, gelatinas ou preparaá‰es semelhantes;;
2106.90.21;;Para a fabricaá∆o de pudins, em embalagens imediatas de conte£do inferior ou igual a 1 kg ;0;
2106.90.29;;Outros ;0;
2106.90.30;;Suplementos alimentares ;0;
2106.90.40;;Misturas Ö base de ascorbato de s¢dio e glucose pr¢prias para embutidos ;0;
2106.90.50;;Gomas de mascar, sem aá£car ;0;
2106.90.60;;Caramelos, confeitos, pastilhas e produtos semelhantes, sem aá£car ;0;
2106.90.90;;Outras ;0;
22.01;;"µguas, incluindo as †guas minerais, naturais ou artificiais, e as †guas gaseificadas, n∆o adicionadas de aá£car ou de outros edulcorantes nem aromatizadas; gelo e neve.";;
2201.10.00;;- µguas minerais e †guas gaseificadas ;2,6;
2201.10.00;01;µguas minerais naturais comercializadas em recipientes com capacidade nominal inferior a 10 (dez) litros;NT;
2201.10.00;02;µguas minerais naturais comercializadas em recipientes com capacidade nominal igual ou superior a 10 (dez) litros;NT;
2201.90.00;;- Outros ;NT;
22.02;;µguas, incluindo as †guas minerais e as †guas gaseificadas, adicionadas de aá£car ou de outros edulcorantes ou aromatizadas e outras bebidas n∆o alco¢licas, exceto sucos (sumos) de fruta ou de produtos hort°colas da posiá∆o 20.09.;;
2202.10.00;;- µguas, incluindo as †guas minerais e as †guas gaseificadas, adicionadas de aá£car ou de outros edulcorantes ou aromatizadas ;2,6;
2202.10.00;01;Refrescos;2,6;
2202.9;;- Outras:;;
2202.91.00;;-- Cerveja sem †lcool ;3,9;
2202.99.00;;-- Outras ;2,6;
2202.99.00;01;Bebidas alimentares Ö base de soja ou de leite e cacau;0;
2202.99.00;02;NÇctares de frutas;0;
2202.99.00;03;Alimentos para praticantes de atividade f°sica nos termos da Resoluá∆o RDC nß 18, de 27 de abril de 2010, da Agància Nacional de VigilÉncia Sanit†ria, do MinistÇrio da Sa£de: repositores hidroeletrol°ticos e outros;2,6;
2202.99.00;04;"Compostos l°quidos pronto para consumo nos termos da Resoluá∆o RDC nß 273, de 22 de
setembro de 2005, da Agància Nacional de VigilÉncia Sanit†ria, do MinistÇrio da Sa£de";2,6;
2202.99.00;05;Bebidas alimentares Ö base ou elaboradas a partir de matÇrias-primas vegetais classificadas nas posiá‰es 08.01 ou 08.02, no Cap°tulo 10 ou no Cap°tulo 12, exceto a posiá∆o 12.01, que n∆o contenham leite animal, produtos l†cteos ou gorduras deles derivados em sua composiá∆o;0;
2203.00.00;;Cervejas de malte. ;3,9;
2203.00.00;01;Chope;3,9;
22.04;;"Vinhos de uvas frescas, incluindo os vinhos enriquecidos com †lcool; mostos de uvas, excluindo os da
posiá∆o 20.09.";;
2204.1;;- Vinhos espumantes e vinhos espumosos;;
2204.10.10;;Tipo champanha (champagne) ;6,5;
2204.10.90;;Outros ;6,5;
2204.2;;"- Outros vinhos; mostos de uvas cuja fermentaá∆o tenha sido impedida ou interrompida por adiá∆o de †lcool:";;
2204.21.00;;-- Em recipientes de capacidade n∆o superior a 2 l ;6,5;
2204.21.00;01;Vinhos da madeira, do porto e de xerez;13;
2204.22;;-- Em recipientes de capacidade superior a 2 l, mas n∆o superior a 10 l;;
2204.22.1;;Vinhos;;
2204.22.11;;Em recipientes de capacidade n∆o superior a 5 l ;6,5;
2204.22.11;01;Vinhos da madeira, do porto e de xerez;13;
2204.22.19;;Outros ;6,5;
2204.22.19;01;Vinhos da madeira, do porto e de xerez;13;
2204.22.20;;Mostos ;6,5;
2204.29;;-- Outros;;
2204.29.10;;Vinhos ;6,5;
2204.29.10;01;Vinhos da madeira, do porto e de xerez;13;
2204.29.20;;Mostos ;6,5;
2204.30.00;;- Outros mostos de uvas ;6,5;
22.05;;Vermutes e outros vinhos de uvas frescas aromatizados por plantas ou substÉncias arom†ticas.;;
2205.10.00;;- Em recipientes de capacidade n∆o superior a 2 l ;9,75;
2205.90.00;;- Outros ;9,75;
2206;;"Outras bebidas fermentadas (por exemplo, sidra, perada, hidromel, saquà); misturas de bebidas fermentadas e misturas de bebidas fermentadas com bebidas n∆o alco¢licas, n∆o especificadas nem compreendidas noutras posiá‰es.";;
2206.00.10;;Sidra ;6,5;
2206.00.90;;Outras ;6,5;
2206.00.90;01;Com teor alco¢lico superior a 14%;13;
22.07;;"µlcool et°lico n∆o desnaturado, com um teor alco¢lico, em volume, igual ou superior a 80 % vol.; †lcool et°lico e aguardentes, desnaturados, com qualquer teor alco¢lico.";;
2207.1;;- µlcool et°lico n∆o desnaturado, com um teor alco¢lico, em volume, igual ou superior a 80 % vol.;;
2207.10.10;;Com um teor de †gua inferior ou igual a 1 % vol. ;0;
2207.10.10;01;Para fins carburantes, com as especificaá‰es determinadas pela ANP;NT;
2207.10.10;02;Retificado (†lcool neutro);5,2;
2207.10.90;;Outros ;0;
2207.10.90;01;Para fins carburantes, com as especificaá‰es determinadas pela ANP;NT;
2207.10.90;02;Retificado (†lcool neutro);5,2;
2207.2;;- µlcool et°lico e aguardentes, desnaturados, com qualquer teor alco¢lico;;
2207.20.1;;µlcool et°lico;;
2207.20.11;;Com um teor de †gua inferior ou igual a 1 % vol. ;5,2;
2207.20.11;01;Para fins carburantes, com as especificaá‰es determinadas pela ANP;NT;
2207.20.19;;Outros ;5,2;
2207.20.19;01;Para fins carburantes, com as especificaá‰es determinadas pela ANP;NT;
2207.20.20;;Aguardente ;5,2;
22.08;;"µlcool et°lico n∆o desnaturado, com um teor alco¢lico, em volume, inferior a 80 % vol.; aguardentes, licores e outras bebidas espirituosas.";;
2208.20.00;;- Aguardentes de vinho ou de bagaáo, de uvas ;19,5;
2208.3;;- U°sques;;
2208.30.10;;Com um teor alco¢lico, em volume, superior a 50 % vol., em recipientes de capacidade igual ou superior a 50 l ;19,5;
2208.30.20;;Em embalagens de capacidade inferior ou igual a 2 l ;19,5;
2208.30.90;;Outros ;19,5;
2208.40.00;;- Rum e outras aguardentes provenientes da destilaá∆o, ap¢s fermentaá∆o, de produtos da cana-de aá£car ;16,25;
2208.40.00;01;Rum e outras aguardentes obtidas do melaáo da cana;19,5;
2208.50.00;;- Gim e genebra ;19,5;
2208.60.00;;- Vodca ;19,5;
2208.70.00;;- Licores ;19,5;
2208.90.00;;- Outros ;19,5;
2208.90.00;01;µlcool et°lico;5,2;
2208.90.00;02;Bebida refrescante com teor alco¢lico inferior a 8%;13;
