NCM;DESCRICAO
0303.5;- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueir es*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do- ndico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xar us (Caranx spp.), bijupir  (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulh o-do-jap o (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
0303.51.00;-- Arenques (Clupea harengus, Clupea pallasii)
0303.53.00;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)
0303.54.00;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)
0303.55.00;-- Carapaus (Trachurus spp.)
0303.56.00;-- Bijupir  (Cobia*) (Rachycentron canadum)
0303.57.00;-- Espadarte (Xiphias gladius)
0303.59;-- Outros
0303.59.10;Espadins, marlins, veleiros (Istiophoridae)
0303.59.20;Anchoita (Engraulis anchoita)
0303.59.90;Outros
0303.6;- Peixes das fam lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
0303.63.00;-- Bacalhau-do-atl ntico (Gadus morhua), bacalhau-da-groel ndia (Gadus ogac) e bacalhau-do-pac fico (Gadus macrocephalus)
0303.64.00;-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
0303.65.00;-- Saithe (Escamudo*) (Pollachius virens)
0303.66.00;-- Merluzas (Pescadas*) e abr teas (Merluccius spp., Urophycis spp.)
0303.67.00;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
0303.68.00;-- Verdinhos (Micromesistius poutassou, Micromesistius australis)
0303.69;-- Outros
0303.69.10;Merluza rosada (Macruronus magellanicus)
0303.69.90;Outros
0303.8;- Outros peixes, exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
0303.81;-- Ca  o e outros tubar es
0303.81.1;Tubar o-azul (Prionace glauca)
0303.81.11;Inteiro
0303.81.12;Eviscerado, sem cabe a e sem barbatanas
0303.81.13;Em peda os, com pele
0303.81.14;Em peda os, sem pele
0303.81.19;Outros
0303.81.90;Outros
0303.82.00;-- Raias (Rajidae)
0303.83;-- Merluza negra e merluza ant rtica (Marlongas*) (Dissostichus spp.)
0303.83.1;Merluza negra (Dissostichus eleginoides)
0303.83.11;Evisceradas, sem cabe a e sem cauda
0303.83.19;Outras
0303.83.2;Merluza ant rtica (Dissostichus mawsoni)
0303.83.21;Evisceradas, sem cabe a e sem cauda
0303.83.29;Outras
0303.84.00;-- Robalos (Dicentrarchus spp.)
0303.89;-- Outros
0303.89.10;Corvina (Micropogonias furnieri)
0303.89.20;Pescadas (Cynoscion spp.)
0303.89.3;Pargo (Lutjanus purpureus) e peixe-sapo (Lophius gastrophysus)
0303.89.32;Pargo (Lutjanus purpureus)
0303.89.33;Peixe-sapo (Lophius gastrophysus)
0303.89.4;Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), tainhas (Mugil spp.), esturj es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus), peixes-rei (Atherina spp.) e nototenias (Patagonotothen spp.)
0303.89.41;Cherne-poveiro (Polyprion americanus)
0303.89.42;Garoupas (Acanthistius spp.)
0303.89.43;Tainhas (Mugil spp.)
0303.89.44;Esturj es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)
0303.89.45;Peixes-rei (Atherina spp.)
0303.89.46;Nototenias (Patagonotothen spp.)
0303.89.5;"Curimat s (Prochilodus spp.), til pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h bridos), surubins (Pseudoplatystoma spp.), tra ra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.) e pirarucu (Arapaima gigas)"
0303.89.51;Curimat s (Prochilodus spp.)
0303.89.52;"Til pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h bridos)"
0303.89.53;Surubins (Pseudoplatystoma spp.)
0303.89.54;Tra ra (Hoplias malabaricus & H. cf. lacerdae)
0303.89.55;Piaus (Leporinus spp.)
0303.89.56;Pirarucu (Arapaima gigas)
0303.89.6;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (h brido de tambaqui e pacu)
0303.89.61;Piramutaba (Brachyplatystoma vaillantii)
0303.89.62;Dourada (Brachyplatystoma flavicans)
0303.89.63;Pacu (Piaractus mesopotamicus)
0303.89.64;Tambaqui (Colossoma macropomum)
0303.89.65;Tambacu (h brido de tambaqui e pacu)
0303.89.90;Outros
0303.9;- F gados, ovas, g nadas masculinas, barbatanas, cabe as, caudas, bexigas-natat rias e outros subprodutos comest veis de peixes:
0303.91;-- F gados, ovas e g nadas masculinas
0303.91.10;Ovas de tainhas (Mugil spp.)
0303.91.90;Outros
0303.92.00;-- Barbatanas de tubar o
0303.99;-- Outros
0303.99.10;Cabe as de Merluza negra (Dissostichus eleginoides)
0303.99.20;Cabe as de Merluza ant rtica (Dissostichus mawsoni)
0303.99.90;Outros
03.04;Fil s (filetes) de peixes e outra carne de peixes (mesmo picada), frescos, refrigerados ou congelados.
